dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
DateTime-Format-Duration-XSD|NUF|DateTime-Format-Duration-XSD-0.01|0.01|PASS
DateTime-Format-Epoch|CHORNY|DateTime-Format-Epoch-0.16|0.16|PASS
DateTime-Format-Flexible|THINC|DateTime-Format-Flexible-0.31|0.31|PASS
DateTime-Format-HTTP|CKRAS|DateTime-Format-HTTP-0.42|0.42|PASS
DateTime-Format-Human-Duration|MSTRAT|DateTime-Format-Human-Duration-0.64|0.64|PASS
DateTime-Format-ICal|DROLSKY|DateTime-Format-ICal-0.09|0.09|PASS
DateTime-Format-ISO8601|JHOBLITT|DateTime-Format-ISO8601-0.08|0.08|PASS
DateTime-Format-Mail|BOOK|DateTime-Format-Mail-0.403|0.403|PASS
DateTime-Format-MySQL|XMIKEW|DateTime-Format-MySQL-0.06|0.06|PASS
DateTime-Format-Natural|SCHUBIGER|DateTime-Format-Natural-1.05|1.05|PASS
DateTime-Format-Oracle|KOLIBRIE|DateTime-Format-Oracle-0.06|0.06|PASS
DateTime-Format-Pg|DMAKI|DateTime-Format-Pg-0.16013|0.16013|PASS
DateTime-Format-RFC3339|IKEGAMI|DateTime-Format-RFC3339-v1.2.0|v1.2.0|PASS
DateTime-Format-SQLite|CFAERBER|DateTime-Format-SQLite-0.11|0.11|PASS
DateTime-Format-Strptime|DROLSKY|DateTime-Format-Strptime-1.75|1.75|PASS
DateTime-Format-W3CDTF|GWILLIAMS|DateTime-Format-W3CDTF-0.07|0.07|PASS
DateTime-Format-XSD|DRUOSO|DateTime-Format-XSD-0.2|0.2|PASS
DateTime-Incomplete|FGLOCK|DateTime-Incomplete-0.08|0.08|PASS
DateTime-Locale|DROLSKY|DateTime-Locale-1.23|1.23|PASS
DateTime-Set|FGLOCK|DateTime-Set-0.3900|0.3900|PASS
DateTime-TimeZone|DROLSKY|DateTime-TimeZone-2.20|2.20|PASS
DateTime-TimeZone-SystemV|ZEFRAM|DateTime-TimeZone-SystemV-0.010|0.010|PASS
DateTime-TimeZone-Tzfile|ZEFRAM|DateTime-TimeZone-Tzfile-0.011|0.011|PASS
DateTime-Tiny|DAGOLDEN|DateTime-Tiny-1.07|1.07|PASS
DateTime-Util-Calc|DMAKI|DateTime-Util-Calc-0.13003|0.13003|PASS
DateTimeX-Easy|ROKR|DateTimeX-Easy-0.089|0.089|PASS
Debug-Client|MANWAR|Debug-Client-0.31|0.31|FAIL
Desktop-Notify|SACAVILIA|Desktop-Notify-0.05|0.05|PASS
Devel-Autoflush|DAGOLDEN|Devel-Autoflush-0.06|0.06|PASS
Devel-Backtrace|PEPE|Devel-Backtrace-0.12|0.12|PASS
Devel-BeginLift|FLORA|Devel-BeginLift-0.001003|0.001003|FAIL
Devel-CallChecker|ZEFRAM|Devel-CallChecker-0.008|0.008|PASS
Devel-CallParser|ZEFRAM|Devel-CallParser-0.002|0.002|PASS
Devel-Caller|RCLAMP|Devel-Caller-2.06|2.06|PASS
Devel-Caller-Perl|CWEST|Devel-Caller-Perl-1.4|1.4|PASS
Devel-Callsite|ROCKY|Devel-Callsite-1.0.1|1.0.1|PASS
Devel-CheckBin|TOKUHIROM|Devel-CheckBin-0.04|0.04|PASS
Devel-CheckCompiler|SYOHEX|Devel-CheckCompiler-0.07|0.07|PASS
Devel-CheckLib|MATTN|Devel-CheckLib-1.13|1.13|PASS
Devel-CheckOS|DCANTRELL|Devel-CheckOS-1.81|1.81|PASS
Devel-Confess|HAARG|Devel-Confess-0.009004|0.009004|PASS
Devel-Cover|PJCJ|Devel-Cover-1.31|1.31|PASS
Devel-Cover-Report-Coveralls|MIKIHOSHI|Devel-Cover-Report-Coveralls-0.11|0.11|PASS
Devel-Cycle|LDS|Devel-Cycle-1.12|1.12|PASS
Devel-Declare|ETHER|Devel-Declare-0.006019|0.006019|PASS
Devel-Declare-Parser|EXODIST|Devel-Declare-Parser-0.020|0.020|PASS
Devel-Dumpvar|ADAMK|Devel-Dumpvar-1.06|1.06|PASS
Devel-Events|ETHER|Devel-Events-0.09|0.09|FAIL
Devel-FindPerl|LEONT|Devel-FindPerl-0.015|0.015|PASS
Devel-GlobalDestruction|HAARG|Devel-GlobalDestruction-0.14|0.14|PASS
Devel-GlobalPhase|HAARG|Devel-GlobalPhase-0.003003|0.003003|PASS
Devel-Hide|FERREIRA|Devel-Hide-0.0010|0.0010|PASS
Devel-Hook|FERREIRA|Devel-Hook-0.011|0.011|PASS
Devel-LexAlias|RCLAMP|Devel-LexAlias-0.05|0.05|PASS
Devel-NYTProf|TIMB|Devel-NYTProf-6.06|6.06|PASS
Devel-OverloadInfo|ILMARI|Devel-OverloadInfo-0.005|0.005|PASS
Devel-OverrideGlobalRequire|DAGOLDEN|Devel-OverrideGlobalRequire-0.001|0.001|PASS
Devel-PartialDump|ETHER|Devel-PartialDump-0.20|0.20|PASS
Devel-PatchPerl|BINGOS|Devel-PatchPerl-1.52|1.52|PASS
Devel-Platform-Info|BARBIE|Devel-Platform-Info-0.16|0.16|PASS
Devel-Pragma|CHOCOLATE|Devel-Pragma-1.1.0|1.1.0|PASS
Devel-REPL|ETHER|Devel-REPL-1.003028|1.003028|PASS
Devel-Refactor|SSOTKA|Devel-Refactor-0.05|0.05|PASS
Devel-Refcount|PEVANS|Devel-Refcount-0.10|0.10|PASS
Devel-Size|NWCLARK|Devel-Size-0.82|0.82|PASS
Devel-StackTrace|DROLSKY|Devel-StackTrace-2.03|2.03|PASS
Devel-StackTrace-AsHTML|MIYAGAWA|Devel-StackTrace-AsHTML-0.15|0.15|PASS
Devel-StackTrace-WithLexicals|SARTAK|Devel-StackTrace-WithLexicals-2.01|2.01|PASS
Devel-StrictMode|TOBYINK|Devel-StrictMode-0.003|0.003|PASS
Devel-Symdump|ANDK|Devel-Symdump-2.18|2.18|PASS
Devel-TakeHashArgs|ZOFFIX|Devel-TakeHashArgs-0.006|0.006|PASS
Devel-ebug|AWWAIID|Devel-ebug-0.59|0.59|PASS
Device-Chip|PEVANS|Device-Chip-0.11|0.11|PASS
Device-SMBus|SHANTANU|Device-SMBus-1.15|1.15|FAIL
Device-SerialPort|COOK|Device-SerialPort-1.04|1.04|FAIL
Device-USB|GWADEJ|Device-USB-0.37|0.37|FAIL
Dezi-App|KARMAN|Dezi-App-0.016|0.016|PASS
Digest-Bcrypt|CAPOEIRAB|Digest-Bcrypt-1.209|1.209|PASS
Digest-CRC|OLIMAUL|Digest-CRC-0.22|0.22.2|PASS
Digest-HMAC|GAAS|Digest-HMAC-1.03|1.03|PASS
Digest-JHash|SHLOMIF|Digest-JHash-0.10|0.10|PASS
Digest-MD2|GAAS|Digest-MD2-2.04|2.04|PASS
Digest-MD4|MIKEM|Digest-MD4-1.9|1.9|PASS
Digest-MD5-File|DMUEY|Digest-MD5-File-0.08|0.08|PASS
Digest-MD5-M4p|BILLH|Digest-MD5-M4p-0.01|0.01|PASS
Digest-MD6|ANDYA|Digest-MD6-0.11|0.11|NA
Digest-Perl-MD5|DELTA|Digest-Perl-MD5-1.9|1.9|PASS
Digest-SHA1|GAAS|Digest-SHA1-2.13|2.13|PASS
Digest-SHA3|MSHELOR|Digest-SHA3-1.04|1.04|PASS
Dir-Self|MAUKE|Dir-Self-0.11|0.11|PASS
Directory-Scratch|ETHER|Directory-Scratch-0.18|0.18|PASS
Dispatch-Class|MAUKE|Dispatch-Class-0.02|0.02|PASS
Dist-CheckConflicts|DOY|Dist-CheckConflicts-0.11|0.11|PASS
Dist-Metadata|RWSTAUNER|Dist-Metadata-0.927|0.927|PASS
Dist-Zilla|RJBS|Dist-Zilla-6.012|6.012|PASS
Dist-Zilla-App-Command-cover|DOHERTY|Dist-Zilla-App-Command-cover-1.101001|1.101001|PASS
Dist-Zilla-Config-Slicer|RWSTAUNER|Dist-Zilla-Config-Slicer-0.202|0.202|PASS
Dist-Zilla-Plugin-AssertOS|BINGOS|Dist-Zilla-Plugin-AssertOS-0.08|0.08|PASS
Dist-Zilla-Plugin-Authority|APOCAL|Dist-Zilla-Plugin-Authority-1.009|1.009|PASS
Dist-Zilla-Plugin-AutoMetaResources|AJGB|Dist-Zilla-Plugin-AutoMetaResources-1.21|1.21|PASS
Dist-Zilla-Plugin-Bootstrap-lib|KENTNL|Dist-Zilla-Plugin-Bootstrap-lib-1.001002|1.001002|PASS
Dist-Zilla-Plugin-Bugtracker|MARCEL|Dist-Zilla-Plugin-Bugtracker-1.111080|1.111080|PASS
Dist-Zilla-Plugin-BumpVersionAfterRelease|DAGOLDEN|Dist-Zilla-Plugin-BumpVersionAfterRelease-0.018|0.018|PASS
Dist-Zilla-Plugin-ChangelogFromGit|RCAPUTO|Dist-Zilla-Plugin-ChangelogFromGit-0.017|0.017|PASS
Dist-Zilla-Plugin-CheckChangeLog|FAYLAND|Dist-Zilla-Plugin-CheckChangeLog-0.05|0.05|PASS
Dist-Zilla-Plugin-CheckChangesHasContent|DAGOLDEN|Dist-Zilla-Plugin-CheckChangesHasContent-0.011|0.011|PASS
Dist-Zilla-Plugin-CheckExtraTests|DAGOLDEN|Dist-Zilla-Plugin-CheckExtraTests-0.029|0.029|PASS
Dist-Zilla-Plugin-CheckIssues|ETHER|Dist-Zilla-Plugin-CheckIssues-0.010|0.010|PASS
Dist-Zilla-Plugin-CheckMetaResources|DAGOLDEN|Dist-Zilla-Plugin-CheckMetaResources-0.001|0.001|PASS
Dist-Zilla-Plugin-CheckPrereqsIndexed|RJBS|Dist-Zilla-Plugin-CheckPrereqsIndexed-0.020|0.020|PASS
Dist-Zilla-Plugin-CheckSelfDependency|ETHER|Dist-Zilla-Plugin-CheckSelfDependency-0.011|0.011|PASS
Dist-Zilla-Plugin-CheckVersionIncrement|RTHOMPSON|Dist-Zilla-Plugin-CheckVersionIncrement-0.121750|0.121750|PASS
Dist-Zilla-Plugin-Clean|ALEXBIO|Dist-Zilla-Plugin-Clean-0.07|0.07|PASS
Dist-Zilla-Plugin-Config-Git|BBYRD|Dist-Zilla-Plugin-Config-Git-0.92|0.92|PASS
Dist-Zilla-Plugin-ConsistentVersionTest|RSRCHBOY|Dist-Zilla-Plugin-ConsistentVersionTest-0.03|0.03|PASS
Dist-Zilla-Plugin-ContributorsFile|YANICK|Dist-Zilla-Plugin-ContributorsFile-0.3.0|0.3.0|PASS
Dist-Zilla-Plugin-ContributorsFromGit|RSRCHBOY|Dist-Zilla-Plugin-ContributorsFromGit-0.019|0.019|PASS
Dist-Zilla-Plugin-CopyFilesFromBuild|RTHOMPSON|Dist-Zilla-Plugin-CopyFilesFromBuild-0.170880|0.170880|PASS
Dist-Zilla-Plugin-CopyFilesFromBuild-Filtered|DAGOLDEN|Dist-Zilla-Plugin-CopyFilesFromBuild-Filtered-0.002|0.002|PASS
Dist-Zilla-Plugin-CopyFilesFromRelease|ETHER|Dist-Zilla-Plugin-CopyFilesFromRelease-0.006|0.006|PASS
Dist-Zilla-Plugin-CopyReadmeFromBuild|ROKR|Dist-Zilla-Plugin-CopyReadmeFromBuild-0.0019|0.0019|PASS
Dist-Zilla-Plugin-CopyrightYearFromGit|PERLANCAR|Dist-Zilla-Plugin-CopyrightYearFromGit-0.003|0.003|PASS
Dist-Zilla-Plugin-GenerateFile-FromShareDir|ETHER|Dist-Zilla-Plugin-GenerateFile-FromShareDir-0.014|0.014|PASS
Dist-Zilla-Plugin-Git|ETHER|Dist-Zilla-Plugin-Git-2.045|2.045|PASS
Dist-Zilla-Plugin-Git-Contributors|ETHER|Dist-Zilla-Plugin-Git-Contributors-0.035|0.035|PASS
Dist-Zilla-Plugin-Git-Describe|RJBS|Dist-Zilla-Plugin-Git-Describe-0.007|0.007|PASS
Dist-Zilla-Plugin-Git-Remote-Check|KENTNL|Dist-Zilla-Plugin-Git-Remote-Check-0.1.2|0.1.2|PASS
Dist-Zilla-Plugin-GitHub|ETHER|Dist-Zilla-Plugin-GitHub-0.47|0.47|PASS
Dist-Zilla-Plugin-GitHubREADME-Badge|FAYLAND|Dist-Zilla-Plugin-GitHubREADME-Badge-0.27|0.27|PASS
Dist-Zilla-Plugin-GithubMeta|BINGOS|Dist-Zilla-Plugin-GithubMeta-0.58|0.58|PASS
Dist-Zilla-Plugin-HasVersionTests|MARCEL|Dist-Zilla-Plugin-HasVersionTests-1.101420|1.101420|PASS
Dist-Zilla-Plugin-Homepage|MARCEL|Dist-Zilla-Plugin-Homepage-1.101420|1.101420|PASS
Dist-Zilla-Plugin-InsertCopyright|DAGOLDEN|Dist-Zilla-Plugin-InsertCopyright-0.005|0.005|PASS
Dist-Zilla-Plugin-InstallGuide|ETHER|Dist-Zilla-Plugin-InstallGuide-1.200011|1.200011|PASS
Dist-Zilla-Plugin-InstallRelease|DOHERTY|Dist-Zilla-Plugin-InstallRelease-0.008|0.008|PASS
Dist-Zilla-Plugin-MakeMaker-Awesome|ETHER|Dist-Zilla-Plugin-MakeMaker-Awesome-0.47|0.47|PASS
Dist-Zilla-Plugin-MetaData-BuiltWith|KENTNL|Dist-Zilla-Plugin-MetaData-BuiltWith-1.004005|1.004005|PASS
Dist-Zilla-Plugin-MetaProvides|KENTNL|Dist-Zilla-Plugin-MetaProvides-2.002004|2.002004|PASS
Dist-Zilla-Plugin-MetaProvides-Package|KENTNL|Dist-Zilla-Plugin-MetaProvides-Package-2.004003|2.004003|PASS
Dist-Zilla-Plugin-MinimumPerl|APOCAL|Dist-Zilla-Plugin-MinimumPerl-1.006|1.006|PASS
Dist-Zilla-Plugin-ModuleBuildTiny|LEONT|Dist-Zilla-Plugin-ModuleBuildTiny-0.015|0.015|PASS
Dist-Zilla-Plugin-ModuleBuildTiny-Fallback|ETHER|Dist-Zilla-Plugin-ModuleBuildTiny-Fallback-0.025|0.025|PASS
Dist-Zilla-Plugin-MojibakeTests|SYP|Dist-Zilla-Plugin-MojibakeTests-0.8|0.8|PASS
Dist-Zilla-Plugin-OurPkgVersion|PLICEASE|Dist-Zilla-Plugin-OurPkgVersion-0.12|0.12|PASS
Dist-Zilla-Plugin-PerlTidy|FAYLAND|Dist-Zilla-Plugin-PerlTidy-0.21|0.21|PASS
Dist-Zilla-Plugin-Pod2Readme|DAGOLDEN|Dist-Zilla-Plugin-Pod2Readme-0.004|0.004|PASS
Dist-Zilla-Plugin-PodWeaver|RJBS|Dist-Zilla-Plugin-PodWeaver-4.008|4.008|PASS
Dist-Zilla-Plugin-Prepender|ETHER|Dist-Zilla-Plugin-Prepender-2.004|2.004|PASS
Dist-Zilla-Plugin-Prereqs-AuthorDeps|DAGOLDEN|Dist-Zilla-Plugin-Prereqs-AuthorDeps-0.006|0.006|PASS
Dist-Zilla-Plugin-Prereqs-FromCPANfile|MIYAGAWA|Dist-Zilla-Plugin-Prereqs-FromCPANfile-0.08|0.08|PASS
Dist-Zilla-Plugin-PromptIfStale|ETHER|Dist-Zilla-Plugin-PromptIfStale-0.055|0.055|PASS
Dist-Zilla-Plugin-ReadmeAnyFromPod|RTHOMPSON|Dist-Zilla-Plugin-ReadmeAnyFromPod-0.163250|0.163250|PASS
Dist-Zilla-Plugin-ReadmeMarkdownFromPod|RTHOMPSON|Dist-Zilla-Plugin-ReadmeMarkdownFromPod-0.141140|0.141140|PASS
Dist-Zilla-Plugin-ReportVersions-Tiny|DOLMEN|Dist-Zilla-Plugin-ReportVersions-Tiny-1.12|1.12|PASS
Dist-Zilla-Plugin-Repository|FAYLAND|Dist-Zilla-Plugin-Repository-0.23|0.23|PASS
Dist-Zilla-Plugin-RewriteVersion-Transitional|ETHER|Dist-Zilla-Plugin-RewriteVersion-Transitional-0.009|0.009|PASS
Dist-Zilla-Plugin-Run|ETHER|Dist-Zilla-Plugin-Run-0.047|0.047|PASS
Dist-Zilla-Plugin-SchwartzRatio|YANICK|Dist-Zilla-Plugin-SchwartzRatio-0.3.2|0.3.2|PASS
Dist-Zilla-Plugin-StaticVersion|RTHOMPSON|Dist-Zilla-Plugin-StaticVersion-0.103521|0.103521|PASS
Dist-Zilla-Plugin-SurgicalPodWeaver|DROLSKY|Dist-Zilla-Plugin-SurgicalPodWeaver-0.0023|0.0023|PASS
Dist-Zilla-Plugin-TaskWeaver|RJBS|Dist-Zilla-Plugin-TaskWeaver-0.101628|0.101628|PASS
Dist-Zilla-Plugin-Test-CPAN-Changes|DOHERTY|Dist-Zilla-Plugin-Test-CPAN-Changes-0.012|0.012|PASS
Dist-Zilla-Plugin-Test-CPAN-Meta-JSON|DOHERTY|Dist-Zilla-Plugin-Test-CPAN-Meta-JSON-0.004|0.004|PASS
Dist-Zilla-Plugin-Test-CheckDeps|ETHER|Dist-Zilla-Plugin-Test-CheckDeps-0.014|0.014|PASS
Dist-Zilla-Plugin-Test-CleanNamespaces|ETHER|Dist-Zilla-Plugin-Test-CleanNamespaces-0.006|0.006|PASS
Dist-Zilla-Plugin-Test-Compile|ETHER|Dist-Zilla-Plugin-Test-Compile-2.058|2.058|PASS
Dist-Zilla-Plugin-Test-DistManifest|DOHERTY|Dist-Zilla-Plugin-Test-DistManifest-2.000005|2.000005|PASS
Dist-Zilla-Plugin-Test-EOL|ETHER|Dist-Zilla-Plugin-Test-EOL-0.19|0.19|PASS
Dist-Zilla-Plugin-Test-Kwalitee|ETHER|Dist-Zilla-Plugin-Test-Kwalitee-2.12|2.12|PASS
Dist-Zilla-Plugin-Test-Kwalitee-Extra|YAKEX|Dist-Zilla-Plugin-Test-Kwalitee-Extra-v0.2.1|v0.2.1|PASS
Dist-Zilla-Plugin-Test-MinimumVersion|DOHERTY|Dist-Zilla-Plugin-Test-MinimumVersion-2.000008|2.000008|PASS
Dist-Zilla-Plugin-Test-NoTabs|ETHER|Dist-Zilla-Plugin-Test-NoTabs-0.15|0.15|PASS
Dist-Zilla-Plugin-Test-Perl-Critic|ETHER|Dist-Zilla-Plugin-Test-Perl-Critic-3.001|3.001|PASS
Dist-Zilla-Plugin-Test-Pod-Coverage-Configurable|DROLSKY|Dist-Zilla-Plugin-Test-Pod-Coverage-Configurable-0.07|0.07|PASS
Dist-Zilla-Plugin-Test-Pod-LinkCheck|RWSTAUNER|Dist-Zilla-Plugin-Test-Pod-LinkCheck-1.004|1.004|PASS
Dist-Zilla-Plugin-Test-Pod-No404s|RWSTAUNER|Dist-Zilla-Plugin-Test-Pod-No404s-1.004|1.004|PASS
Dist-Zilla-Plugin-Test-PodSpelling|ETHER|Dist-Zilla-Plugin-Test-PodSpelling-2.007005|2.007005|PASS
Dist-Zilla-Plugin-Test-Portability|ETHER|Dist-Zilla-Plugin-Test-Portability-2.001000|2.001000|PASS
Dist-Zilla-Plugin-Test-ReportPrereqs|DAGOLDEN|Dist-Zilla-Plugin-Test-ReportPrereqs-0.027|0.027|PASS
Dist-Zilla-Plugin-Test-Synopsis|DOHERTY|Dist-Zilla-Plugin-Test-Synopsis-2.000007|2.000007|PASS
Dist-Zilla-Plugin-Test-UnusedVars|DOHERTY|Dist-Zilla-Plugin-Test-UnusedVars-2.000007|2.000007|PASS
Dist-Zilla-Plugin-Test-Version|PLICEASE|Dist-Zilla-Plugin-Test-Version-1.09|1.09|PASS
Dist-Zilla-Plugin-Twitter|DOHERTY|Dist-Zilla-Plugin-Twitter-0.026|0.026|PASS
Dist-Zilla-Plugin-VersionFromMainModule|DROLSKY|Dist-Zilla-Plugin-VersionFromMainModule-0.04|0.04|PASS
Dist-Zilla-PluginBundle-Git-CheckFor|RSRCHBOY|Dist-Zilla-PluginBundle-Git-CheckFor-0.014|0.014|PASS
Dist-Zilla-PluginBundle-ROKR|ROKR|Dist-Zilla-PluginBundle-ROKR-0.0019|0.0019|PASS
Dist-Zilla-PluginBundle-TestingMania|DOHERTY|Dist-Zilla-PluginBundle-TestingMania-0.25|0.25|PASS
Dist-Zilla-Plugins-CJM|CJM|Dist-Zilla-Plugins-CJM-6.000|6.000|PASS
Dist-Zilla-Role-Bootstrap|KENTNL|Dist-Zilla-Role-Bootstrap-1.001004|1.001004|PASS
Dist-Zilla-Role-DynamicConfig|RWSTAUNER|Dist-Zilla-Role-DynamicConfig-1.002|1.002|PASS
Dist-Zilla-Role-FileWatcher|ETHER|Dist-Zilla-Role-FileWatcher-0.006|0.006|PASS
Dist-Zilla-Role-MetaCPANInterfacer|BBYRD|Dist-Zilla-Role-MetaCPANInterfacer-0.97|0.97|PASS
Dist-Zilla-Role-ModuleMetadata|ETHER|Dist-Zilla-Role-ModuleMetadata-0.006|0.006|PASS
Dist-Zilla-Role-PluginBundle-Merged|BBYRD|Dist-Zilla-Role-PluginBundle-Merged-1.00|1.00|PASS
Dist-Zilla-Role-PluginBundle-PluginRemover|RWSTAUNER|Dist-Zilla-Role-PluginBundle-PluginRemover-0.105|0.105|PASS
Dist-Zilla-Role-RegisterStash|RSRCHBOY|Dist-Zilla-Role-RegisterStash-0.003|0.003|PASS
Dist-Zilla-Role-RepoFileInjector|ETHER|Dist-Zilla-Role-RepoFileInjector-0.009|0.009|PASS
Dist-Zilla-Role-Stash-Plugins|RWSTAUNER|Dist-Zilla-Role-Stash-Plugins-1.006|1.006|PASS
Dist-Zilla-Stash-PodWeaver|RWSTAUNER|Dist-Zilla-Stash-PodWeaver-1.005|1.005|PASS
Dist-Zilla-TravisCI|BBYRD|Dist-Zilla-TravisCI-1.15|1.15|PASS
Dist-Zilla-Util-Git-Wrapper|KENTNL|Dist-Zilla-Util-Git-Wrapper-0.004002|0.004002|PASS
Dist-Zilla-UtilRole-MaybeZilla|KENTNL|Dist-Zilla-UtilRole-MaybeZilla-0.002000|0.002000|PASS
Docopt|TOKUHIROM|Docopt-0.03|0.03|PASS
Dumbbench|BDFOY|Dumbbench-0.111|0.111|PASS
DynGig-Range|KAN|DynGig-Range-1.00|1.00|FAIL
DynaLoader-Functions|ZEFRAM|DynaLoader-Functions-0.003|0.003|PASS
EV|MLEHMANN|EV-4.22|4.22|PASS
Email-Abstract|RJBS|Email-Abstract-3.008|3.008|PASS
Email-Address|RJBS|Email-Address-1.909|1.909|PASS
Email-Address-XS|PALI|Email-Address-XS-1.04|1.04|PASS
Email-Date|RJBS|Email-Date-1.104|1.104|PASS
Email-Date-Format|RJBS|Email-Date-Format-1.005|1.005|PASS
Email-Find|MIYAGAWA|Email-Find-0.10|0.10|PASS
Email-Folder|PALI|Email-Folder-0.860|0.860|PASS
Email-FolderType|RJBS|Email-FolderType-0.814|0.814|PASS
Email-FolderType-Net|RJBS|Email-FolderType-Net-1.043|1.043|PASS
Email-LocalDelivery|RJBS|Email-LocalDelivery-1.200|1.200|PASS
Email-MIME|RJBS|Email-MIME-1.946|1.946|PASS
Email-MIME-ContentType|RJBS|Email-MIME-ContentType-1.022|1.022|PASS
Email-MIME-Encodings|RJBS|Email-MIME-Encodings-1.315|1.315|PASS
Email-MIME-Kit|RJBS|Email-MIME-Kit-3.000006|3.000006|PASS
Email-MessageID|RJBS|Email-MessageID-1.406|1.406|PASS
Email-Send|RJBS|Email-Send-2.201|2.201|PASS
Email-Sender|RJBS|Email-Sender-1.300031|1.300031|PASS
Email-Simple|RJBS|Email-Simple-2.216|2.216|PASS
Email-Stuff|RJBS|Email-Stuff-2.105|2.105|PASS
Email-Stuffer|RJBS|Email-Stuffer-0.017|0.017|PASS
Email-Valid|RJBS|Email-Valid-1.202|1.202|PASS
Email-Valid-Loose|MIYAGAWA|Email-Valid-Loose-0.05|0.05|PASS
Encode-Detect|JGMYERS|Encode-Detect-1.01|1.01|PASS
Encode-JP-Mobile|MIYAGAWA|Encode-JP-Mobile-0.30|0.30|FAIL
Encode-Locale|GAAS|Encode-Locale-1.05|1.05|PASS
Encode-Newlines|NEILB|Encode-Newlines-0.05|0.05|PASS
Encode-ZapCP1252|DWHEELER|Encode-ZapCP1252-0.33|0.33|PASS
Encode-compat|AUTRIJUS|Encode-compat-0.07|0.07|PASS
Encoding-FixLatin|GRANTM|Encoding-FixLatin-1.04|1.04|PASS
Env-Path|DSB|Env-Path-0.19|0.19|PASS
Env-Sanctify|BINGOS|Env-Sanctify-1.12|1.12|PASS
Env-ShellWords|PLICEASE|Env-ShellWords-0.02|0.02|PASS
Eponymous-Hash|TEMPIRE|Eponymous-Hash-0.02|0.02|PASS
Error|SHLOMIF|Error-0.17026|0.17026|PASS
Error-Hierarchy|MARCEL|Error-Hierarchy-1.103530|1.103530|PASS
Error-Pure|SKIM|Error-Pure-0.25|0.25|PASS
Error-Pure-Output-Text|SKIM|Error-Pure-Output-Text-0.23|0.23|PASS
Escape-Houdini|YANICK|Escape-Houdini-0.3.0|0.3.0|PASS
Eval-Closure|DOY|Eval-Closure-0.14|0.14|PASS
Eval-LineNumbers|MUIR|Eval-LineNumbers-0.34|0.34|PASS
Event|ETJ|Event-1.26|1.26|PASS
Excel-Template|RBO|Excel-Template-0.34|0.34|PASS
Excel-Writer-XLSX|JMCNAMARA|Excel-Writer-XLSX-0.98|0.98|PASS
Exception-Base|DEXTER|Exception-Base-0.2501|0.2501|PASS
Exception-Class|DROLSKY|Exception-Class-1.44|1.44|PASS
Exception-Class-DBI|DWHEELER|Exception-Class-DBI-1.01|1.01|PASS
Exception-Class-TryCatch|DAGOLDEN|Exception-Class-TryCatch-1.13|1.13|PASS
Exception-Died|DEXTER|Exception-Died-0.06|0.06|PASS
Exception-Tiny|YAPPO|Exception-Tiny-v0.2.1|v0.2.1|PASS
Exception-Warning|DEXTER|Exception-Warning-0.0401|0.0401|PASS
Exceptions|CAPOEIRAB|Exceptions-0.103|0.103|PASS
Expect|JACOBY|Expect-1.35|1.35|FAIL
Export-Attrs|POWERMAN|Export-Attrs-v0.1.0|v0.1.0|PASS
Exporter-AutoClean|TYPESTER|Exporter-AutoClean-0.01|0.01|PASS
Exporter-Declare|EXODIST|Exporter-Declare-0.114|0.114|PASS
Exporter-Declare-Magic|EXODIST|Exporter-Declare-Magic-0.107|0.107|PASS
Exporter-Easy|NEILB|Exporter-Easy-0.18|0.18|PASS
Exporter-Lite|NEILB|Exporter-Lite-0.08|0.08|PASS
Exporter-Tidy|JUERD|Exporter-Tidy-0.08|0.08|PASS
Exporter-Tiny|TOBYINK|Exporter-Tiny-1.002001|1.002001|PASS
ExtUtils-CChecker|PEVANS|ExtUtils-CChecker-0.10|0.10|PASS
ExtUtils-Config|LEONT|ExtUtils-Config-0.008|0.008|PASS
ExtUtils-CppGuess|ETJ|ExtUtils-CppGuess-0.12|0.12|PASS
ExtUtils-Depends|XAOC|ExtUtils-Depends-0.405|0.405|PASS
ExtUtils-F77|CHM|ExtUtils-F77-1.20|1.20|FAIL
ExtUtils-H2PM|PEVANS|ExtUtils-H2PM-0.10|0.10|PASS
ExtUtils-Helpers|LEONT|ExtUtils-Helpers-0.026|0.026|PASS
ExtUtils-InstallPaths|LEONT|ExtUtils-InstallPaths-0.012|0.012|PASS
ExtUtils-LibBuilder|AMBS|ExtUtils-LibBuilder-0.08|0.08|PASS
ExtUtils-MakeMaker-CPANfile|ISHIGAKI|ExtUtils-MakeMaker-CPANfile-0.08|0.08|PASS
ExtUtils-PkgConfig|XAOC|ExtUtils-PkgConfig-1.16|1.16|PASS
ExtUtils-Typemaps-Default|SMUELLER|ExtUtils-Typemaps-Default-1.05|1.05|PASS
ExtUtils-XSpp|SMUELLER|ExtUtils-XSpp-0.18|0.18|PASS
FCGI|ETHER|FCGI-0.78|0.78|PASS
FCGI-Client|TOKUHIROM|FCGI-Client-0.09|0.09|PASS
FCGI-ProcManager|ARODLAND|FCGI-ProcManager-0.28|0.28|PASS
FFI-CheckLib|PLICEASE|FFI-CheckLib-0.22|0.22|PASS
FFI-Platypus|PLICEASE|FFI-Platypus-0.56|0.56|PASS
FFI-Raw|ALEXBIO|FFI-Raw-0.32|0.32|PASS
Feed-Find|BTROTT|Feed-Find-0.07|0.07|PASS
