dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
B-Hooks-OP-PPAddr|ETHER|B-Hooks-OP-PPAddr-0.06|0.06|PASS
B-Hooks-Parser|ETHER|B-Hooks-Parser-0.19|0.19|PASS
B-Keywords|RURBAN|B-Keywords-1.19|1.19|PASS
B-OPCheck|ETHER|B-OPCheck-0.32|0.32|PASS
B-Utils|ETHER|B-Utils-0.27|0.27|PASS
BSD-Resource|JHI|BSD-Resource-1.2911|1.2911|PASS
BSD-Sysctl|DLAND|BSD-Sysctl-0.11|0.11|FAIL
BSON|MONGODB|BSON-v1.8.1|v1.8.1|PASS
BSON-XS|MONGODB|BSON-XS-v0.4.6|v0.4.6|PASS
BackPAN-Index|MSCHWERN|BackPAN-Index-0.42|0.42|PASS
Badge-Depot|CSSON|Badge-Depot-0.0104|0.0104|PASS
Badger|ABW|Badger-0.13|0.13|PASS
Bash-Completion|MELO|Bash-Completion-0.008|0.008|PASS
Beam-Emitter|PREACTION|Beam-Emitter-1.007|1.007|PASS
Beam-Service|PREACTION|Beam-Service-0.001|0.001|PASS
Beam-Wire|PREACTION|Beam-Wire-1.022|1.022|PASS
BenchmarkAnything-Config|SCHWIGON|BenchmarkAnything-Config-0.003|0.003|PASS
BenchmarkAnything-Reporter|SCHWIGON|BenchmarkAnything-Reporter-0.003|0.003|PASS
BenchmarkAnything-Schema|SCHWIGON|BenchmarkAnything-Schema-0.004|0.004|PASS
BenchmarkAnything-Storage-Backend-SQL|SCHWIGON|BenchmarkAnything-Storage-Backend-SQL-0.024|0.024|UNKNOWN
BenchmarkAnything-Storage-Search-Elasticsearch|SCHWIGON|BenchmarkAnything-Storage-Search-Elasticsearch-0.004|0.004|PASS
BerkeleyDB|PMQS|BerkeleyDB-0.55|0.55|FAIL
Best|GAAL|Best-0.15|0.15|PASS
Bio-LITE-Taxonomy|MOTIF|Bio-LITE-Taxonomy-0.07|0.07|PASS
Bio-Phylo|RVOSA|Bio-Phylo-v2.0.1|v2.0.1|PASS
BioPerl|CJFIELDS|BioPerl-1.007002|1.007002|PASS
BioPerl-Run|CJFIELDS|BioPerl-Run-1.007002|1.007002|PASS
Bit-Vector|STBEY|Bit-Vector-7.4|7.4|PASS
Bit-Vector-Minimal|TMTM|Bit-Vector-Minimal-1.3|1.3|PASS
Border-Style|PERLANCAR|Border-Style-0.01|0.01|PASS
Bot-BasicBot|BIGPRESH|Bot-BasicBot-0.93|0.93|PASS
Bot-BasicBot-Pluggable|BIGPRESH|Bot-BasicBot-Pluggable-1.20|1.20|PASS
Brannigan|IDOPEREL|Brannigan-1.100001|1.100001|PASS
Bread-Board|YANICK|Bread-Board-0.36|0.36|PASS
Bread-Board-Declare|DOY|Bread-Board-Declare-0.16|0.16|PASS
Browser-Open|CFRANKS|Browser-Open-0.04|0.04|PASS
Business-CPI|ANDRE|Business-CPI-0.924|0.924|PASS
Business-CreditCard|IVAN|Business-CreditCard-0.36|0.36|PASS
Business-ISBN|BDFOY|Business-ISBN-3.004|3.004|PASS
Business-ISBN-Data|BDFOY|Business-ISBN-Data-20140910.003|20140910.003|PASS
Business-ISSN|BDFOY|Business-ISSN-1.003|1.003|PASS
Business-OnlinePayment|IVAN|Business-OnlinePayment-3.05|3.05|PASS
Business-PayPal-API|OALDERS|Business-PayPal-API-0.77|0.77|PASS
Bytes-Random-Secure|DAVIDO|Bytes-Random-Secure-0.29|0.29|PASS
Bytes-Random-Secure-Tiny|DAVIDO|Bytes-Random-Secure-Tiny-1.008|1.008|PASS
C-Tokenize|BKB|C-Tokenize-0.18|0.18|PASS
CACertOrg-CA|BDFOY|CACertOrg-CA-20110724.005|20110724.005|PASS
CAM-PDF|CDOLAN|CAM-PDF-1.60|1.60|PASS
CAM-Template|CLOTHO|CAM-Template-0.93|0.93|PASS
CBOR-XS|MLEHMANN|CBOR-XS-1.7|1.7|PASS
CDB_File|TODDR|CDB_File-0.99|0.99|PASS
CGI|LEEJO|CGI-4.40|4.40|PASS
CGI-Application|MARTO|CGI-Application-4.61|4.61|PASS
CGI-Application-Dispatch|MARKSTOS|CGI-Application-Dispatch-3.12|3.12|PASS
CGI-Application-Plugin-AutoRunmode|THILO|CGI-Application-Plugin-AutoRunmode-0.18|0.18|PASS
CGI-Application-Plugin-DBH|FREW|CGI-Application-Plugin-DBH-4.04|4.04|PASS
CGI-Application-Plugin-DevPopup|RHESA|CGI-Application-Plugin-DevPopup-1.08|1.08|PASS
CGI-Application-Plugin-Forward|MGRAHAM|CGI-Application-Plugin-Forward-1.06|1.06|PASS
CGI-Application-Plugin-LogDispatch|CEESHEK|CGI-Application-Plugin-LogDispatch-1.02|1.02|PASS
CGI-Application-Plugin-Redirect|CEESHEK|CGI-Application-Plugin-Redirect-1.00|1.00|PASS
CGI-Application-Plugin-Session|FREW|CGI-Application-Plugin-Session-1.05|1.05|PASS
CGI-Application-Plugin-Stream|PURDY|CGI-Application-Plugin-Stream-2.12|2.12|PASS
CGI-Application-Plugin-TT|CEESHEK|CGI-Application-Plugin-TT-1.05|1.05|PASS
CGI-Application-Plugin-ValidateRM|FANY|CGI-Application-Plugin-ValidateRM-2.5|2.5|PASS
CGI-Application-Plugin-ViewCode|WONKO|CGI-Application-Plugin-ViewCode-1.02|1.02|FAIL
CGI-Application-Server|RJBS|CGI-Application-Server-0.063|0.063|PASS
CGI-Compile|MIYAGAWA|CGI-Compile-0.22|0.22|PASS
CGI-Cookie-Splitter|ETHER|CGI-Cookie-Splitter-0.05|0.05|PASS
CGI-Cookie-XS|AGENT|CGI-Cookie-XS-0.18|0.18|PASS
CGI-Deurl-XS|ATHOMASON|CGI-Deurl-XS-0.08|0.08|PASS
CGI-Emulate-PSGI|TOKUHIROM|CGI-Emulate-PSGI-0.23|0.23|PASS
CGI-Expand|BOWMANBS|CGI-Expand-2.05|2.05|PASS
CGI-Fast|LEEJO|CGI-Fast-2.13|2.13|PASS
CGI-FormBuilder|BIGPRESH|CGI-FormBuilder-3.10|3.10|PASS
CGI-PSGI|MIYAGAWA|CGI-PSGI-0.15|0.15|PASS
CGI-Session|MARKSTOS|CGI-Session-4.48|4.48|PASS
CGI-Simple|MANWAR|CGI-Simple-1.21|1.21|PASS
CGI-Struct|FULLERMD|CGI-Struct-1.21|1.21|PASS
CGI-Test|TOKAREV|CGI-Test-1.111|1.111|PASS
CGI-Untaint|TMTM|CGI-Untaint-1.26|1.26|PASS
CGI-Untaint-date|TMTM|CGI-Untaint-date-1.00|1.00|PASS
CGI-Untaint-email|MIYAGAWA|CGI-Untaint-email-0.03|0.03|PASS
CHI|JSWARTZ|CHI-0.60|0.60|PASS
CLASS|MSCHWERN|CLASS-1.00|1.00|PASS
CLDR-Number|PATCH|CLDR-Number-0.19|0.19|PASS
CPAN-Changes|HAARG|CPAN-Changes-0.400002|0.400002|PASS
CPAN-Checksums|ANDK|CPAN-Checksums-2.12|2.12|PASS
CPAN-Common-Index|DAGOLDEN|CPAN-Common-Index-0.010|0.010|PASS
CPAN-DistnameInfo|GBARR|CPAN-DistnameInfo-0.12|0.12|PASS
CPAN-Inject|PSHANGOV|CPAN-Inject-1.14|1.14|PASS
CPAN-Meta-Check|LEONT|CPAN-Meta-Check-0.014|0.014|PASS
CPAN-Mini|RJBS|CPAN-Mini-1.111016|1.111016|PASS
CPAN-Mini-Devel|DAGOLDEN|CPAN-Mini-Devel-0.04|0.04|PASS
CPAN-PackageDetails|BDFOY|CPAN-PackageDetails-0.261|0.261|PASS
CPAN-ParseDistribution|DCANTRELL|CPAN-ParseDistribution-1.54|1.54|PASS
CPAN-Perl-Releases|BINGOS|CPAN-Perl-Releases-3.78|3.78|PASS
CPAN-Recent-Uploads|BINGOS|CPAN-Recent-Uploads-0.14|0.14|PASS
CPAN-Reporter|DAGOLDEN|CPAN-Reporter-1.2018|1.2018|PASS
CPAN-SQLite|STRO|CPAN-SQLite-0.212|0.212|PASS
CPAN-Test-Dummy-Perl5-Make|ANDK|CPAN-Test-Dummy-Perl5-Make-1.05|1.05|PASS
CPAN-Testers-Common-Client|GARU|CPAN-Testers-Common-Client-0.14|0.14|PASS
CPAN-Testers-Common-DBUtils|PREACTION|CPAN-Testers-Common-DBUtils-0.13|0.13|PASS
CPAN-Testers-Report|DAGOLDEN|CPAN-Testers-Report-1.999003|1.999003|PASS
CPAN-Uploader|RJBS|CPAN-Uploader-0.103013|0.103013|PASS
CPANPLUS|BINGOS|CPANPLUS-0.9176|0.9176|PASS
CPANPLUS-Dist-Build|BINGOS|CPANPLUS-Dist-Build-0.90|0.90|PASS
CPP-catch-test|RANDIR|CPP-catch-test-1.0.1|1.0.1|PASS
CPP-panda-lib|RANDIR|CPP-panda-lib-1.1.3|1.1.3|FAIL
CPS|PEVANS|CPS-0.18|0.18|PASS
CQL-Parser|BRICAS|CQL-Parser-1.13|1.13|PASS
CSS|IAMCAL|CSS-1.09|1.09|PASS
CSS-DOM|SPROUT|CSS-DOM-0.17|0.17|PASS
CSS-LESSp|DRINCHEV|CSS-LESSp-0.86|0.86|PASS
CSS-Minifier|PMICHAUX|CSS-Minifier-0.01|0.01|PASS
CSS-Minifier-XS|GTERMARS|CSS-Minifier-XS-0.09|0.09|PASS
CSS-Packer|LEEJO|CSS-Packer-2.05|2.05|PASS
CSS-Scopifier|VANSTYN|CSS-Scopifier-0.04|0.04|PASS
CSS-Squish|TSIBLEY|CSS-Squish-0.10|0.10|PASS
CSS-Tiny|CHORNY|CSS-Tiny-1.20|1.20|PASS
Cache|SHLOMIF|Cache-2.11|2.11|PASS
Cache-Cache|RJBS|Cache-Cache-1.08|1.08|PASS
Cache-FastMmap|ROBM|Cache-FastMmap-1.47|1.47|PASS
Cache-LRU|KAZUHO|Cache-LRU-0.04|0.04|PASS
Cache-Memcached|DORMANDO|Cache-Memcached-1.30|1.30|PASS
Cache-Memcached-Fast|RAZ|Cache-Memcached-Fast-0.25|0.25|PASS
